PCB_ID,Lot_ID,Line,Machine,Feeder_ID,Nozzle_ID,Component,Offset_X,Offset_Y,Offset_Angle,Solder_Height,Solder_Volume,Vacuum_Pressure,Placement_Force,Reflow_Peak_Temp,Tact_Time,Grade,Defect_Type,Is_Defective
PCB_000011,LOT_20260301,SMD_Line_A,Mounter_04,FD_07,NZ_06,IC_QFP_48,-2.1,-12.68,-0.708,157.14,50.85,-70.45,3.86,246.3,4.09,F,Insufficient_Solder,1
PCB_000012,LOT_20260301,SMD_Line_C,Mounter_02,FD_09,NZ_10,CHIP_1005,-6.65,-8.01,0.08,130.26,94.59,-67.28,4.09,250.2,3.81,A,Normal,0
PCB_000013,LOT_20260301,SMD_Line_C,Mounter_02,FD_12,NZ_05,BGA_256,1.07,-9.63,-0.093,136.38,86.29,-70.95,3.12,248.0,3.94,A,Normal,0
PCB_000014,LOT_20260301,SMD_Line_A,Mounter_02,FD_26,NZ_08,CHIP_0603,-7.6,5.54,-0.62,139.14,108.35,-72.83,3.71,241.0,4.0,A,Normal,0
PCB_000015,LOT_20260301,SMD_Line_A,Mounter_03,FD_02,NZ_06,IC_QFP_48,7.34,2.92,0.214,143.22,91.46,-72.11,3.84,237.4,3.83,F,Tombstone,1
PCB_000016,LOT_20260301,SMD_Line_A,Mounter_01,FD_04,NZ_02,CHIP_0603,-5.54,0.71,0.561,124.23,100.97,-75.12,3.5,242.0,4.83,A,Normal,0
PCB_000017,LOT_20260301,SMD_Line_A,Mounter_01,FD_03,NZ_09,CHIP_0603,5.27,-8.09,-0.577,161.37,84.02,-79.63,3.22,246.1,4.72,A,Normal,0
PCB_000018,LOT_20260301,SMD_Line_B,Mounter_01,FD_22,NZ_12,CAP_3216,-7.59,-0.31,0.151,111.1,101.17,-68.11,3.26,241.9,4.05,A,Normal,0
PCB_000019,LOT_20260301,SMD_Line_B,Mounter_02,FD_21,NZ_09,CHIP_1005,-1.16,7.7,0.223,126.61,120.73,-70.96,3.74,242.0,5.16,A,Normal,0
PCB_000020,LOT_20260301,SMD_Line_A,Mounter_03,FD_12,NZ_01,IC_QFP_48,-4.83,6.74,0.259,121.88,105.86,-74.18,2.68,238.8,4.32,A,Normal,0
PCB_000021,LOT_20260301,SMD_Line_B,Mounter_03,FD_03,NZ_09,BGA_256,-3.39,7.65,0.298,140.02,107.86,-69.43,3.29,242.4,5.17,A,Normal,0
PCB_000022,LOT_20260301,SMD_Line_A,Mounter_03,FD_09,NZ_05,CAP_3216,2.84,-9.08,0.502,133.25,,-74.9,2.59,242.5,3.89,F,Tombstone,1
PCB_000023,LOT_20260301,SMD_Line_A,Mounter_04,FD_12,NZ_09,CHIP_0603,14.58,7.73,0.497,133.67,128.12,,4.17,237.7,4.31,B,Normal,0
PCB_000024,LOT_20260301,SMD_Line_A,Mounter_03,FD_08,NZ_11,IC_QFP_48,4.46,4.33,0.407,134.64,115.19,-71.2,2.78,244.2,4.72,A,Normal,0
PCB_000025,LOT_20260301,SMD_Line_B,Mounter_03,FD_19,NZ_05,CHIP_1005,7.45,-6.34,0.208,142.15,,-73.44,2.47,242.5,3.87,A,Normal,0
PCB_000026,LOT_20260301,SMD_Line_C,Mounter_03,FD_26,NZ_10,CHIP_1005,-7.21,5.46,0.541,168.05,94.14,-68.9,3.34,246.0,4.34,A,Normal,0
PCB_000027,LOT_20260301,SMD_Line_A,Mounter_01,FD_05,NZ_06,CHIP_0603,-10.3,-4.67,0.953,109.24,,-74.03,2.9,246.6,4.91,A,Normal,0
PCB_000028,LOT_20260301,SMD_Line_B,Mounter_02,FD_21,NZ_09,IC_QFP_48,-20.39,-10.89,-0.222,157.96,109.58,-71.34,3.04,240.5,3.88,A,Normal,0
PCB_000029,LOT_20260301,SMD_Line_B,Mounter_04,FD_05,NZ_07,CHIP_0603,8.83,10.54,-0.038,146.54,102.62,-71.08,3.59,245.5,3.81,A,Normal,0
PCB_000030,LOT_20260301,SMD_Line_A,Mounter_01,FD_08,NZ_12,CHIP_0603,6.86,15.58,0.266,128.28,96.37,-74.66,3.33,239.1,4.95,A,Normal,0
PCB_000031,LOT_20260301,SMD_Line_B,Mounter_03,FD_03,NZ_04,IC_QFP_48,-12.56,1.71,-0.528,140.85,96.55,-70.7,3.53,232.8,3.8,A,Normal,0
PCB_000032,LOT_20260301,SMD_Line_A,Mounter_02,FD_19,NZ_06,CHIP_0603,-8.88,-14.07,-0.21,122.64,96.5,-69.4,3.57,243.8,4.41,A,Normal,0
PCB_000033,LOT_20260301,SMD_Line_A,Mounter_02,FD_24,NZ_08,CHIP_1005,25.31,1.48,-0.509,135.1,108.08,-63.81,2.7,244.3,4.39,B,Normal,0
PCB_000034,LOT_20260301,SMD_Line_C,Mounter_02,FD_09,NZ_05,CHIP_0603,19.71,-22.18,0.348,144.37,120.4,-72.68,3.0,246.8,4.36,B,Normal,0
PCB_000035,LOT_20260301,SMD_Line_C,Mounter_02,FD_21,NZ_04,BGA_256,1.72,10.26,0.216,151.01,92.98,-70.98,3.76,248.3,3.48,A,Normal,0
PCB_000036,LOT_20260301,SMD_Line_C,Mounter_03,FD_26,NZ_07,CAP_3216,-10.49,-0.93,-0.815,140.98,94.55,-70.03,2.79,237.6,4.16,A,Normal,0
PCB_000037,LOT_20260301,SMD_Line_A,Mounter_04,FD_24,NZ_12,BGA_256,-9.6,-3.51,0.871,140.64,90.78,,2.56,245.7,5.05,A,Normal,0
PCB_000038,LOT_20260301,SMD_Line_A,Mounter_03,FD_14,NZ_03,CHIP_1005,3.26,15.51,0.058,121.78,98.15,-70.63,3.24,242.9,4.05,A,Normal,0
PCB_000039,LOT_20260301,SMD_Line_B,Mounter_02,FD_21,NZ_04,CHIP_0603,0.06,-18.89,0.21,126.18,95.26,-62.79,3.96,239.4,3.49,A,Normal,0
PCB_000040,LOT_20260301,SMD_Line_B,Mounter_03,FD_28,NZ_07,IC_QFP_48,16.91,-17.59,0.065,149.88,114.1,-72.77,3.59,235.9,3.48,A,Normal,0
PCB_000041,LOT_20260301,SMD_Line_A,Mounter_02,FD_20,NZ_11,CAP_3216,5.76,-2.68,-0.705,149.65,110.22,-76.43,1.85,245.2,3.44,A,Normal,0
PCB_000042,LOT_20260301,SMD_Line_B,Mounter_03,FD_02,NZ_05,CHIP_1005,30.92,12.43,-0.454,111.06,77.81,-70.78,3.42,251.0,4.52,C,Normal,0
PCB_000043,LOT_20260301,SMD_Line_A,Mounter_04,FD_27,NZ_01,CHIP_0603,-23.71,16.22,0.326,127.16,104.12,-66.46,4.17,243.6,4.75,B,Normal,0
PCB_000044,LOT_20260301,SMD_Line_C,Mounter_02,FD_30,NZ_06,CHIP_0603,-2.11,11.41,0.498,95.61,88.43,-67.21,3.58,245.9,4.6,A,Normal,0
PCB_000045,LOT_20260301,SMD_Line_A,Mounter_03,FD_15,NZ_09,CHIP_1005,17.55,-7.9,0.018,138.07,86.53,-69.33,4.09,242.7,3.38,A,Normal,0
PCB_000046,LOT_20260301,SMD_Line_B,Mounter_01,FD_29,NZ_10,CHIP_1005,-11.12,19.33,-0.287,126.94,75.39,-65.64,3.18,251.6,5.28,B,Normal,0
PCB_000047,LOT_20260301,SMD_Line_A,Mounter_04,FD_30,NZ_03,CHIP_0603,16.38,9.8,-0.415,165.25,,-75.57,3.84,239.8,3.98,A,Normal,0
PCB_000048,LOT_20260301,SMD_Line_B,Mounter_01,FD_04,NZ_04,CHIP_1005,20.21,-15.25,0.224,128.14,82.41,-74.44,2.78,249.4,3.21,B,Normal,0
PCB_000049,LOT_20260301,SMD_Line_B,Mounter_03,FD_02,NZ_11,CAP_3216,2.15,-15.38,-0.281,159.61,100.61,-74.86,3.85,245.1,4.16,A,Normal,0
PCB_000050,LOT_20260301,SMD_Line_A,Mounter_04,FD_23,NZ_10,CHIP_0603,17.41,15.4,0.05,135.93,122.6,-69.42,3.65,242.0,3.94,B,Normal,0
PCB_000051,LOT_20260301,SMD_Line_C,Mounter_04,FD_23,NZ_02,BGA_256,9.7,-14.6,-0.64,136.45,104.75,,3.88,244.8,4.42,A,Normal,0
PCB_000052,LOT_20260301,SMD_Line_C,Mounter_04,FD_09,NZ_03,CHIP_1005,-20.49,-9.12,0.292,149.16,105.09,-73.16,3.89,241.7,4.16,A,Normal,0
PCB_000053,LOT_20260301,SMD_Line_C,Mounter_03,FD_28,NZ_12,IC_QFP_48,4.77,10.94,-0.026,120.12,94.66,-69.89,2.8,244.9,4.47,F,Tombstone,1
PCB_000054,LOT_20260301,SMD_Line_C,Mounter_04,FD_04,NZ_05,CAP_3216,3.48,3.05,-0.168,138.42,105.4,-73.66,2.85,237.3,3.68,A,Normal,0
PCB_000055,LOT_20260301,SMD_Line_B,Mounter_04,FD_05,NZ_06,CHIP_1005,-27.97,13.24,0.061,123.19,106.16,-76.03,3.58,245.1,3.83,B,Normal,0
PCB_000056,LOT_20260301,SMD_Line_C,Mounter_01,FD_11,NZ_02,CHIP_0603,-1.28,-0.7,0.087,125.52,95.66,-75.54,3.2,249.6,4.33,A,Normal,0
PCB_000057,LOT_20260301,SMD_Line_A,Mounter_03,FD_04,NZ_11,BGA_256,-3.14,12.78,-0.366,131.22,101.02,-78.11,3.78,237.4,3.58,A,Normal,0
PCB_000058,LOT_20260301,SMD_Line_A,Mounter_02,FD_04,NZ_02,CHIP_0603,14.1,-24.85,0.179,155.93,100.85,-68.13,2.86,247.3,3.7,A,Normal,0
PCB_000059,LOT_20260301,SMD_Line_A,Mounter_03,FD_15,NZ_12,CAP_3216,-0.91,-3.37,0.202,155.75,98.9,-77.45,3.3,240.2,3.58,A,Normal,0
PCB_000060,LOT_20260301,SMD_Line_A,Mounter_03,FD_05,NZ_06,CHIP_0603,6.2,5.15,0.088,119.58,103.81,,3.54,243.8,4.4,A,Normal,0
PCB_000061,LOT_20260301,SMD_Line_A,Mounter_04,FD_03,NZ_01,CHIP_0603,-16.05,11.95,-0.307,133.43,105.43,-72.2,3.08,244.0,3.77,A,Normal,0
PCB_000062,LOT_20260301,SMD_Line_A,Mounter_01,FD_16,NZ_02,CAP_3216,-11.19,-12.19,0.086,162.43,109.76,-65.58,2.91,243.7,4.44,A,Normal,0
PCB_000063,LOT_20260301,SMD_Line_C,Mounter_01,FD_30,NZ_12,BGA_256,4.29,3.9,-0.037,155.08,81.41,-76.12,2.91,244.4,5.03,A,Normal,0
PCB_000064,LOT_20260301,SMD_Line_A,Mounter_03,FD_25,NZ_12,CHIP_0603,2.45,0.77,-0.674,129.58,82.87,-82.48,3.12,241.1,4.98,A,Normal,0
PCB_000065,LOT_20260301,SMD_Line_A,Mounter_02,FD_30,NZ_04,IC_QFP_48,-4.9,-8.52,-0.107,134.27,109.87,-72.56,4.02,238.8,3.99,A,Normal,0
PCB_000066,LOT_20260301,SMD_Line_B,Mounter_03,FD_23,NZ_01,CHIP_0603,-1.72,10.74,-1.165,111.05,110.01,-76.48,3.73,246.7,4.59,B,Normal,0
PCB_000067,LOT_20260301,SMD_Line_A,Mounter_02,FD_01,NZ_05,CHIP_0603,13.88,3.31,1.173,136.18,85.71,-78.02,3.56,242.3,3.7,B,Normal,0
PCB_000068,LOT_20260301,SMD_Line_C,Mounter_02,FD_01,NZ_03,CHIP_0603,-12.43,0.49,-0.107,122.38,83.78,-74.43,4.05,249.4,3.84,A,Normal,0
PCB_000069,LOT_20260301,SMD_Line_A,Mounter_03,FD_01,NZ_10,CHIP_0603,-5.69,-13.29,0.522,125.61,,-68.78,3.12,238.0,3.55,F,Tombstone,1
PCB_000070,LOT_20260301,SMD_Line_C,Mounter_04,FD_03,NZ_01,CHIP_1005,21.92,13.0,0.242,113.98,112.35,-60.47,3.3,253.5,4.1,B,Normal,0
PCB_000071,LOT_20260301,SMD_Line_C,Mounter_04,FD_09,NZ_04,CHIP_1005,-3.51,2.47,0.967,125.93,103.09,-65.0,2.97,245.4,4.57,A,Normal,0
PCB_000072,LOT_20260301,SMD_Line_A,Mounter_02,FD_29,NZ_01,CHIP_1005,-2.11,-17.64,0.148,152.57,,-69.18,3.66,243.0,4.21,A,Normal,0
PCB_000073,LOT_20260301,SMD_Line_A,Mounter_01,FD_13,NZ_02,IC_QFP_48,-5.93,22.0,0.212,142.23,,-78.33,2.27,241.7,4.11,A,Normal,0
PCB_000074,LOT_20260301,SMD_Line_C,Mounter_04,FD_24,NZ_11,CHIP_1005,14.53,-18.29,-0.098,119.41,137.09,-70.65,2.17,240.9,4.53,C,Normal,0
PCB_000075,LOT_20260301,SMD_Line_B,Mounter_04,FD_13,NZ_10,CHIP_0603,8.85,-1.81,-0.137,135.14,93.45,-72.86,4.18,244.2,4.23,A,Normal,0
PCB_000076,LOT_20260301,SMD_Line_B,Mounter_02,FD_25,NZ_07,CHIP_0603,28.07,-14.37,-0.229,149.55,99.59,-71.93,2.39,242.9,4.01,B,Normal,0
PCB_000077,LOT_20260301,SMD_Line_C,Mounter_02,FD_21,NZ_01,IC_QFP_48,-3.71,-8.94,-0.235,134.51,97.8,-67.74,3.29,249.5,3.94,F,Tombstone,1
PCB_000078,LOT_20260301,SMD_Line_A,Mounter_02,FD_23,NZ_06,CHIP_0603,7.36,-19.67,-0.538,128.68,100.46,-73.48,3.03,241.4,3.74,A,Normal,0
PCB_000079,LOT_20260301,SMD_Line_A,Mounter_04,FD_13,NZ_04,CHIP_0603,3.45,15.88,0.178,126.6,106.37,-74.26,3.49,252.9,4.24,A,Normal,0
PCB_000080,LOT_20260301,SMD_Line_A,Mounter_04,FD_26,NZ_06,IC_QFP_48,14.24,8.72,0.096,121.53,71.39,-70.11,3.76,251.7,4.09,B,Normal,0
PCB_000081,LOT_20260301,SMD_Line_C,Mounter_01,FD_25,NZ_12,CHIP_1005,-18.65,9.92,-0.622,124.26,114.27,-68.36,1.89,243.0,4.56,B,Normal,0
PCB_000082,LOT_20260301,SMD_Line_B,Mounter_01,FD_21,NZ_05,CHIP_0603,-14.71,-3.17,0.739,154.2,,-70.7,2.93,239.8,4.31,A,Normal,0
PCB_000083,LOT_20260301,SMD_Line_A,Mounter_03,FD_08,NZ_11,IC_QFP_48,-21.43,7.67,-0.781,112.7,97.77,-76.26,3.37,243.1,4.5,B,Normal,0
PCB_000084,LOT_20260301,SMD_Line_A,Mounter_02,FD_08,NZ_11,BGA_256,4.36,-8.83,-0.526,159.36,114.98,-77.93,3.17,244.7,4.57,A,Normal,0
PCB_000085,LOT_20260301,SMD_Line_A,Mounter_04,FD_30,NZ_06,CAP_3216,-0.68,18.64,0.928,129.53,78.65,-67.59,3.51,237.4,4.04,B,Normal,0
PCB_000086,LOT_20260301,SMD_Line_A,Mounter_01,FD_19,NZ_05,CHIP_1005,-3.86,10.57,-0.247,138.02,94.37,-71.04,3.42,246.9,3.92,A,Normal,0
PCB_000087,LOT_20260301,SMD_Line_B,Mounter_02,FD_05,NZ_02,CHIP_0603,2.92,16.65,0.066,127.19,85.83,-77.84,2.98,242.3,3.95,A,Normal,0
PCB_000088,LOT_20260301,SMD_Line_B,Mounter_02,FD_24,NZ_10,CHIP_1005,3.62,24.59,-0.027,146.35,97.28,-73.71,2.81,244.7,3.87,A,Normal,0
PCB_000089,LOT_20260301,SMD_Line_C,Mounter_03,FD_10,NZ_04,CHIP_0603,3.22,-10.27,-0.433,120.71,,-70.2,2.92,252.9,3.93,A,Normal,0
PCB_000090,LOT_20260301,SMD_Line_B,Mounter_02,FD_19,NZ_07,CAP_3216,8.06,-11.09,-0.164,124.11,116.59,-71.06,3.22,249.1,3.96,A,Normal,0
PCB_000091,LOT_20260301,SMD_Line_A,Mounter_01,FD_03,NZ_04,CHIP_0603,-0.59,-11.67,0.106,118.38,100.78,-69.04,2.69,243.9,3.76,A,Normal,0
PCB_000092,LOT_20260301,SMD_Line_B,Mounter_03,FD_22,NZ_05,CAP_3216,-7.97,4.42,0.455,133.8,132.38,-76.96,2.25,243.4,3.57,B,Normal,0
PCB_000093,LOT_20260301,SMD_Line_C,Mounter_04,FD_07,NZ_02,CAP_3216,-1.35,-7.38,0.255,137.99,100.62,-69.91,2.92,248.1,4.65,A,Normal,0
PCB_000094,LOT_20260301,SMD_Line_B,Mounter_03,FD_23,NZ_03,IC_QFP_48,4.92,-9.71,0.146,119.97,110.45,-76.81,2.94,252.4,3.9,A,Normal,0
PCB_000095,LOT_20260301,SMD_Line_C,Mounter_02,FD_06,NZ_05,CHIP_0603,5.74,2.32,0.306,128.83,96.17,-73.54,3.77,246.9,3.75,A,Normal,0
PCB_000096,LOT_20260301,SMD_Line_B,Mounter_02,FD_07,NZ_04,CHIP_1005,-8.83,-13.2,0.578,130.83,93.34,-70.55,3.29,251.8,4.08,A,Normal,0
PCB_000097,LOT_20260301,SMD_Line_B,Mounter_01,FD_30,NZ_03,CHIP_1005,-5.34,14.15,0.586,132.91,86.08,-70.31,3.26,252.6,4.17,A,Normal,0
PCB_000098,LOT_20260301,SMD_Line_B,Mounter_02,FD_07,NZ_02,BGA_256,-6.66,-35.46,-0.111,136.39,94.43,-78.06,3.86,247.8,4.17,B,Normal,0
PCB_000099,LOT_20260301,SMD_Line_A,Mounter_04,FD_20,NZ_12,CHIP_0603,3.2,-10.31,-0.5,143.61,92.49,-73.57,4.23,241.5,4.28,A,Normal,0
PCB_000100,LOT_20260301,SMD_Line_A,Mounter_01,FD_08,NZ_09,CHIP_1005,-6.55,-5.43,0.619,113.62,97.74,-75.72,3.02,247.7,4.01,A,Normal,0
PCB_000101,LOT_20260301,SMD_Line_A,Mounter_02,FD_24,NZ_02,CHIP_1005,7.33,9.44,0.101,133.99,88.41,-75.99,3.32,238.1,3.8,A,Normal,0
PCB_000102,LOT_20260301,SMD_Line_B,Mounter_04,FD_02,NZ_09,CHIP_0603,-6.68,-4.61,0.235,111.18,69.92,-72.69,2.59,249.9,4.65,B,Normal,0
PCB_000103,LOT_20260301,SMD_Line_A,Mounter_01,FD_15,NZ_04,CHIP_1005,-17.92,41.35,0.085,122.79,87.36,-73.35,4.08,236.8,3.72,C,Normal,0
PCB_000104,LOT_20260301,SMD_Line_B,Mounter_02,FD_10,NZ_10,CHIP_0603,19.46,7.76,-0.792,129.21,110.49,-68.42,2.98,239.1,3.66,B,Normal,0
PCB_000105,LOT_20260301,SMD_Line_C,Mounter_04,FD_21,NZ_09,CHIP_1005,-7.48,-4.89,-0.204,129.23,103.73,-70.67,3.87,243.3,3.96,A,Normal,0
PCB_000106,LOT_20260301,SMD_Line_A,Mounter_04,FD_15,NZ_09,CHIP_0603,5.64,1.83,-0.92,141.08,112.49,-66.98,2.35,245.9,4.01,A,Normal,0
PCB_000107,LOT_20260301,SMD_Line_B,Mounter_03,FD_02,NZ_10,CHIP_0603,-5.51,-4.85,-0.455,112.89,95.91,-70.0,4.03,251.2,3.57,A,Normal,0
PCB_000108,LOT_20260301,SMD_Line_C,Mounter_01,FD_03,NZ_05,CHIP_1005,-4.11,-3.27,-1.146,144.13,70.51,-72.27,3.56,240.5,3.58,C,Normal,0
PCB_000109,LOT_20260301,SMD_Line_A,Mounter_03,FD_19,NZ_07,CHIP_1005,-0.54,7.89,-0.306,130.41,,-70.8,2.74,243.8,3.87,A,Normal,0
PCB_000110,LOT_20260301,SMD_Line_A,Mounter_04,FD_05,NZ_04,CHIP_0603,9.21,13.6,0.027,147.11,109.61,-70.37,2.95,242.5,3.79,A,Normal,0
PCB_000111,LOT_20260301,SMD_Line_A,Mounter_03,FD_24,NZ_12,CHIP_1005,-16.21,-17.89,-1.05,103.24,89.3,-75.88,2.54,240.5,4.21,B,Normal,0
PCB_000112,LOT_20260301,SMD_Line_A,Mounter_03,FD_19,NZ_11,CHIP_1005,27.55,-13.85,0.53,138.48,103.64,-72.48,3.43,244.0,4.84,B,Normal,0
PCB_000113,LOT_20260301,SMD_Line_C,Mounter_03,FD_07,NZ_10,CHIP_0603,-0.59,3.37,-0.073,123.47,,-69.05,2.88,243.8,4.4,A,Normal,0
PCB_000114,LOT_20260301,SMD_Line_C,Mounter_01,FD_21,NZ_04,CHIP_1005,9.81,2.11,0.496,135.34,103.54,-69.66,3.16,242.2,4.89,A,Normal,0
PCB_000115,LOT_20260301,SMD_Line_B,Mounter_02,FD_14,NZ_01,CHIP_0603,-6.83,2.31,0.161,119.55,95.35,-65.11,3.19,246.7,4.02,A,Normal,0
PCB_000116,LOT_20260301,SMD_Line_C,Mounter_03,FD_12,NZ_10,CAP_3216,7.26,9.3,0.039,126.68,104.84,-77.43,3.99,241.5,4.31,A,Normal,0
PCB_000117,LOT_20260301,SMD_Line_C,Mounter_02,FD_26,NZ_09,CHIP_0603,-3.37,7.58,-0.074,114.56,100.4,-75.28,2.55,244.9,4.03,A,Normal,0
PCB_000118,LOT_20260301,SMD_Line_A,Mounter_01,FD_10,NZ_10,IC_QFP_48,0.78,16.08,-0.581,138.46,71.76,-68.13,3.4,245.9,4.56,B,Normal,0
PCB_000119,LOT_20260301,SMD_Line_C,Mounter_02,FD_10,NZ_08,CHIP_1005,13.25,13.06,-0.182,119.04,86.08,-70.98,2.54,244.7,3.76,A,Normal,0
PCB_000120,LOT_20260301,SMD_Line_B,Mounter_01,FD_04,NZ_09,IC_QFP_48,-21.33,1.37,-0.537,103.93,108.85,-75.22,2.67,246.9,4.01,A,Normal,0
PCB_000121,LOT_20260301,SMD_Line_C,Mounter_02,FD_18,NZ_01,CAP_3216,-2.98,4.86,0.402,139.52,93.79,-73.89,2.65,252.9,3.73,A,Normal,0
PCB_000122,LOT_20260301,SMD_Line_C,Mounter_01,FD_06,NZ_02,BGA_256,-11.67,3.21,-0.354,104.42,94.32,-74.34,2.75,250.8,4.07,A,Normal,0
PCB_000123,LOT_20260301,SMD_Line_A,Mounter_04,FD_20,NZ_11,CHIP_0603,12.82,1.97,-0.177,137.83,99.58,-78.59,3.9,244.5,4.71,F,Tombstone,1
PCB_000124,LOT_20260301,SMD_Line_A,Mounter_01,FD_04,NZ_08,CAP_3216,-1.66,4.43,-0.036,142.61,100.5,-73.64,3.41,249.6,2.89,A,Normal,0
PCB_000125,LOT_20260301,SMD_Line_A,Mounter_02,FD_05,NZ_08,CHIP_0603,18.64,1.91,0.042,148.04,88.44,-67.59,3.28,247.8,3.51,A,Normal,0
PCB_000126,LOT_20260301,SMD_Line_B,Mounter_03,FD_14,NZ_01,CHIP_0603,27.57,-0.86,0.19,129.87,,-70.76,3.88,245.1,4.6,A,Normal,0
PCB_000127,LOT_20260301,SMD_Line_C,Mounter_04,FD_09,NZ_10,CHIP_1005,-16.59,8.97,-0.333,136.78,91.81,-73.48,3.49,239.1,4.27,A,Normal,0
PCB_000128,LOT_20260301,SMD_Line_C,Mounter_03,FD_15,NZ_05,CAP_3216,-19.26,-12.08,-0.138,115.74,112.54,,2.67,251.5,4.99,A,Normal,0
PCB_000129,LOT_20260301,SMD_Line_A,Mounter_02,FD_01,NZ_06,CHIP_1005,-15.12,-14.43,-0.229,136.2,87.86,-75.07,3.05,242.1,4.85,A,Normal,0
PCB_000130,LOT_20260301,SMD_Line_B,Mounter_03,FD_21,NZ_05,BGA_256,2.85,28.66,0.117,146.54,116.59,-64.17,3.15,245.0,3.26,B,Normal,0
PCB_000131,LOT_20260301,SMD_Line_B,Mounter_03,FD_21,NZ_06,CAP_3216,9.48,3.77,-0.099,132.44,109.05,-69.51,3.09,242.9,4.27,A,Normal,0
PCB_000132,LOT_20260301,SMD_Line_A,Mounter_01,FD_13,NZ_07,IC_QFP_48,-40.29,3.97,-0.055,107.37,,-69.13,2.91,240.0,3.76,B,Normal,0
PCB_000133,LOT_20260301,SMD_Line_A,Mounter_02,FD_02,NZ_11,CHIP_1005,10.56,1.96,0.457,130.68,105.24,-73.27,2.66,240.4,3.7,A,Normal,0
PCB_000134,LOT_20260301,SMD_Line_A,Mounter_03,FD_15,NZ_10,CHIP_1005,20.79,10.29,0.088,114.44,97.59,-83.49,3.07,242.8,4.96,A,Normal,0
PCB_000135,LOT_20260301,SMD_Line_C,Mounter_03,FD_15,NZ_06,CHIP_0603,4.47,-0.71,0.621,121.58,98.79,-69.09,3.22,248.1,3.75,A,Normal,0
PCB_000136,LOT_20260301,SMD_Line_A,Mounter_03,FD_16,NZ_03,CHIP_1005,-25.18,18.9,-0.324,120.55,104.47,-71.53,3.51,239.4,4.56,B,Normal,0
PCB_000137,LOT_20260301,SMD_Line_B,Mounter_02,FD_03,NZ_06,CHIP_0603,7.73,-11.28,-0.02,161.9,103.09,-70.57,2.82,249.6,4.19,A,Normal,0
PCB_000138,LOT_20260301,SMD_Line_B,Mounter_04,FD_13,NZ_09,CHIP_0603,-6.22,-21.07,0.158,146.26,96.72,-68.98,3.65,243.8,4.4,A,Normal,0
PCB_000139,LOT_20260301,SMD_Line_A,Mounter_03,FD_20,NZ_06,CHIP_1005,-9.48,6.18,0.048,131.46,90.14,-79.49,3.79,248.2,4.59,A,Normal,0
PCB_000140,LOT_20260301,SMD_Line_C,Mounter_03,FD_01,NZ_06,BGA_256,6.22,-4.57,-0.249,110.96,117.42,-68.9,3.36,249.6,4.58,A,Normal,0
PCB_000141,LOT_20260301,SMD_Line_C,Mounter_04,FD_26,NZ_05,CHIP_1005,14.27,-21.53,-0.118,126.13,80.5,-67.39,3.48,236.9,3.95,B,Normal,0
PCB_000142,LOT_20260301,SMD_Line_A,Mounter_04,FD_14,NZ_11,CHIP_0603,-10.26,-11.62,0.097,134.82,89.49,-72.81,3.85,247.8,4.75,A,Normal,0
PCB_000143,LOT_20260301,SMD_Line_B,Mounter_04,FD_03,NZ_01,IC_QFP_48,4.31,5.8,0.722,121.05,101.65,-66.68,2.35,250.8,3.81,A,Normal,0
